Removed,Accuracy,Macro_F1,Delta_F1
None (Full Model),0.6314529829739215,0.6094737790758699,0.0
Spatial (LAT/LON/COASTAL),0.5986036879502983,0.5753424066330577,-0.03413137244281217
Temporal (HOUR/MONTH/YEAR/DECADE/DOW),0.5926885827308689,0.5733947768904426,-0.036079002185427256
Human Impact (INJ/DEATH/IMPACT),0.6293944767550006,0.6074766338609638,-0.0019971452149060154
Storm Properties (MAG/EF/PATH),0.601307027442616,0.5792507385956575,-0.030223040480212404
Engineered (EPISODE_SIZE/LOG_DUR/DECADE/COASTAL),0.6280552076487147,0.6060598259570327,-0.0034139531188371874
Event Type,0.6301137138676356,0.6082675410477383,-0.0012062380281315788
