Model,Macro_F1,F1_CI_Low,F1_CI_High,Accuracy,Acc_CI_Low,Acc_CI_High,Cohens_Kappa,Kappa_CI_Low,Kappa_CI_High,ROC_AUC,AUC_CI_Low,AUC_CI_High
Random Forest,0.6110612589852051,0.6077046909928984,0.6146141698799967,0.6337595019903027,0.6303611066331023,0.6371327860517603,0.5009826360307673,0.4961294125324058,0.5054722225058893,0.8516355259915137,0.8498561929059207,0.8534017458258712
XGBoost,0.592220475071164,0.5889065103813678,0.5958032052812784,0.6238265894520157,0.6204781066703041,0.6272367654170955,0.48260804219407005,0.47806859415897496,0.4872379189473934,0.8435853699608116,0.8417805886962283,0.8455114853758287
LightGBM,0.5466284994067235,0.5432651625717683,0.5501363529207584,0.5873315063057254,0.5840940092508773,0.590891109981275,0.4300913585143824,0.42569411506085075,0.43476000555154104,0.8159968244489086,0.8139901465815217,0.818005871560609
Decision Tree,0.47801324653371713,0.4744689203347557,0.48124306185279364,0.5076821964013343,0.5042097072208925,0.511106633102268,0.33660564268684356,0.3320685541350056,0.3410863067701256,0.759807669616807,0.7576337814369268,0.7619642360658914
k-NN,0.47600893048674087,0.47262394465538843,0.47922685413207167,0.4850758299128235,0.48166503391575005,0.48837471013504297,0.31275058984031734,0.30819023939154006,0.3170588185181519,0.7361382380295863,0.7336237234222673,0.7385650595356233
SVM,0.45093306497762364,0.44766163807615966,0.4542556732976429,0.4675785270519959,0.4641928423506653,0.47101443434481216,0.285784979484381,0.2814559794747564,0.2902551559484894,0.7241798317696209,0.721981919045211,0.7266431741407055
