CLUSTER,n_events,mean_damage,median_damage,total_damage,mean_lat,mean_lon,total_deaths,total_injuries,dominant_event,n_states
0,64797,2870958.555797336,100000.0,186029501540.0,37.755620451471515,-89.745929601355,2945,28912,Thunderstorm Wind,48
3,1454,3193401.5130674,80000.0,4643205800.0,33.848942475928474,-113.40226330123797,53,318,Thunderstorm Wind,6
2,310,6881635.129032258,154850.0,2133306890.0,37.151567580645164,-120.593981,12,33,Flood,1
7,111,4742522.522522522,311000.0,526420000.0,45.58624837837837,-122.99787063063063,9,7,Flood,2
1,161,1608029.8136645963,100000.0,258892800.0,40.88721186335404,-111.80557677018633,3,107,Flood,2
4,226,601420.3539823008,100000.0,135921000.0,35.44421092920354,-106.27064548672567,5,32,Flash Flood,2
5,187,712404.8128342245,198000.0,133219700.0,47.60363898395722,-117.21202663101606,1,46,Flood,3
6,93,1063209.677419355,167000.0,98878500.0,43.38924817204301,-112.18884182795699,0,4,Flood,2
8,47,1497106.3829787234,480000.0,70364000.0,39.4622085106383,-121.36436659574467,0,0,Flood,1
