cluster_id,n_events,centroid_lat,centroid_lon,spatial_spread_deg,total_damage,mean_damage,median_damage,max_damage,damage_iqr,total_deaths,total_injuries,human_impact_score,n_event_types,dominant_event,event_diversity,n_years,events_per_year,pct_catastrophic,pct_high,n_states,primary_state,norm_damage_intensity,norm_human_impact,norm_cascading_risk,norm_frequency,norm_catastrophic_pct,hazard_score,hazard_rank,hazard_tier,top_escalation,escalation_count,n_unique_transitions
0,64797,37.75562045147152,-89.745929601355,8.98195641757467,186029501540.0,2870958.555797336,100000.0,10000100000.0,250000.0,2945,28912,58362,16,Thunderstorm Wind,2.30887284274832,29,2234.3793103448274,91.77122397641865,8.228776023581338,48,Texas,0.3613790743003661,1.0,0.6439652085652567,1.0,0.46940270473669266,0.6895482159986469,1,High Risk,Hail → Thunderstorm Wind,22097,325
1,161,40.88721186335404,-111.80557677018633,0.8554797502927872,258892800.0,1608029.8136645963,100000.0,170500000.0,200000.0,3,107,137,8,Flood,2.2515690586093706,23,7.0,93.7888198757764,6.211180124223603,2,Utah,0.16028264888031446,0.002347417840375587,0.5792090146454134,0.0017329629751739147,0.6833818048958715,0.259266534789912,5,Moderate Risk,Thunderstorm Wind → Flash Flood,35,64
2,310,37.151567580645164,-120.593981,1.569873737191171,2133306890.0,6881635.129032258,154850.0,549000000.0,1403750.0,12,33,153,8,Flood,2.6239336824818396,29,10.689655172413794,95.80645161290322,4.193548387096775,1,California,1.0,0.00262156882903259,1.0,0.0033865929247304744,0.8973647058823513,0.5857680870283204,2,High Risk,Flood → Debris Flow,38,152
3,1454,33.848942475928474,-113.40226330123797,2.735470872642665,4643205800.0,3193401.5130674,80000.0,1800000000.0,175000.0,53,318,848,10,Thunderstorm Wind,1.8899195837749563,29,50.13793103448276,87.34525447042641,12.65474552957359,6,Arizona,0.41272173833648557,0.014530002398821152,0.17052669330690318,0.021066524348026774,0.0,0.14407825249741132,8,Low Risk,Thunderstorm Wind → Flash Flood,357,159
4,226,35.44421092920354,-106.27064548672567,1.0066982391059978,135921000.0,601420.3539823008,100000.0,40000000.0,200000.0,5,32,82,9,Flash Flood,1.8039341853915665,27,8.37037037037037,91.5929203539823,8.4070796460177,2,New Mexico,0.0,0.0014050238168671397,0.07335881485600826,0.0023471356771033666,0.450492451847996,0.08294895705418334,9,Low Risk,Hail → Thunderstorm Wind,39,55
5,187,47.60363898395722,-117.21202663101606,1.1249331854177913,133219700.0,712404.8128342245,198000.0,26320000.0,520500.0,1,46,56,8,Flood,2.2165339584940598,26,7.1923076923076925,95.72192513368985,4.27807486631016,3,Washington,0.01767208014809349,0.00095952846029951,0.5396175675680794,0.0018191514520559066,0.8884001258257328,0.24611430725738245,7,Low Risk,Hail → Thunderstorm Wind,21,54
6,93,43.389248172043004,-112.18884182795696,0.81674511847584,98878500.0,1063209.677419355,167000.0,29750000.0,635000.0,0,4,4,7,Flood,2.3659323249567534,19,4.894736842105263,96.7741935483871,3.225806451612903,2,Idaho,0.0735308170146746,6.853774716425071e-05,0.7084453288640433,0.0007894259650973727,1.0,0.310207318358033,3,Moderate Risk,Hail → Thunderstorm Wind,6,11
7,111,45.586248378378365,-122.99787063063064,0.83743556504781,526420000.0,4742522.522522522,311000.0,250000000.0,1400000.0,9,7,97,7,Flood,1.7390178054017027,24,4.625,96.3963963963964,3.6036036036036037,2,Oregon,0.6593886223432988,0.00166204036873308,0.0,0.0006685352856813161,0.9599321674615791,0.309352771090097,4,Moderate Risk,Heavy Rain → Flood,13,26
8,47,39.4622085106383,-121.36436659574466,0.71572269967603,70364000.0,1497106.3829787234,480000.0,7000000.0,2085000.0,0,0,0,7,Flood,2.1144220313262125,15,3.1333333333333333,95.74468085106383,4.25531914893617,1,California,0.1426202862607191,0.0,0.424225890446436,0.0,0.8908135168961202,0.254122277188885,6,Moderate Risk,Heavy Rain → Flood,12,64
