Space,k,Silhouette
Raw Features,3,0.29114918048696337
Raw Features,4,0.1950108685748216
Raw Features,5,0.18429345718709436
Raw Features,6,0.20031696298806065
Raw Features,7,0.19848803389036979
Raw Features,8,0.1905360692610382
AE Embeddings,3,0.41794779896736145
AE Embeddings,4,0.36654433608055115
AE Embeddings,5,0.2781837284564972
AE Embeddings,6,0.2825435996055603
AE Embeddings,7,0.28424787521362305
AE Embeddings,8,0.23852421343326569
