Model,Test_Accuracy,Test_Macro_F1,CV_Macro_F1,Test_Weighted_F1,Test_Precision,Test_Recall,Test_ROC_AUC
Random Forest,0.6337595019903027,0.6110612589852051,0.60791027762649,0.6305184836731889,0.6104048018449927,0.6132135736181892,0.8516355288777713
XGBoost,0.6238265894520157,0.592220475071164,0.5905899216448275,0.6149467925439981,0.6026699568087754,0.5930306707654921,0.8435853699608116
LightGBM,0.5873315063057254,0.5466284994067235,0.5467836290618191,0.5727429950552356,0.5670018177359101,0.5519265835097735,0.8159968244489086
Neural Network,0.5411143214989893,0.5302031462033724,0.5540487614573208,0.5385199384938775,0.5399340877242425,0.5489950483367834,0.8064485416711658
Decision Tree,0.5076821964013343,0.47801324653371713,0.48019746430407173,0.495233526327408,0.48010908766016885,0.4952300583992832,0.759807669616807
k-NN,0.4850758299128235,0.47600893048674087,0.46543030148203846,0.4880876138212636,0.48122083917180214,0.4848280025663773,0.7361382380295863
SVM,0.4675785270519959,0.45093306497762364,0.44589715410001324,0.4643419285951215,0.4518283488687397,0.4610255575235522,0.7241798317696209
