Space,k,Silhouette
Raw Features,3,0.2957396671900814
Raw Features,4,0.19482644160643753
Raw Features,5,0.18537257668364035
Raw Features,6,0.2054049751091804
Raw Features,7,0.19667943229446724
Raw Features,8,0.18839468295118253
AE Embeddings,3,0.3565959334373474
AE Embeddings,4,0.36046484112739563
AE Embeddings,5,0.3246455192565918
AE Embeddings,6,0.2953251898288727
AE Embeddings,7,0.2554078996181488
AE Embeddings,8,0.2475314438343048
