Distribution,KS_Statistic,KS_pvalue,Log_Likelihood,AIC,BIC,n_params
Lognormal,0.06745488915661779,2.5084501585804412e-83,-276297.06139747426,552600.1227949485,552623.9724767245,3
Weibull,0.18033430424818475,0.0,-279808.5623366654,559623.1246733308,559646.9743551068,3
Exponential,0.6672412424615829,0.0,-324809.5879912859,649623.1759825718,649639.0757704225,2
Gamma,1.0,0.0,-inf,inf,inf,3
