Model,Accuracy,Macro_F1,CV_Macro_F1,Weighted_F1
Decision Tree,0.9136764516225038,0.9089330839747446,0.545786053583776,0.91353645992932
Random Forest,0.8826102915645678,0.8787053105574933,0.6088893958462116,0.8823294379119758
XGBoost,0.6979717463120405,0.6774568792985223,0.5897546351048719,0.6922281465762664
k-NN,0.5846668187815597,0.5716152632519712,0.49225400847530293,0.586028930225049
LightGBM,0.5978090495133976,0.5608073468885879,0.5457030902908427,0.5842725999417108
Neural Network,0.5453790140970823,0.531722250938654,0.5429165699960672,0.5397894404816576
SVM,0.4652136387535838,0.44871293285452907,0.4376917064844684,0.4572692192441102
